dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,nq,lev_money,long_oi_pct_change,3d_post_release,264,0.003193954193467571,0.0038302388404415355,0.5757575757575758,0.02341778124850148,294,0.004229615975547645,0.004428928451182146,0.6122448979591837,0.018952699891032092,-0.001035661782080074,-0.5701969085561411,0.5685441526303503
tff_disaggregated,nq,lev_money,long_oi_pct_change,1w_post_release,264,0.0027375018964241682,0.0036807068033892776,0.5757575757575758,0.03005980983530727,294,0.005512355648573833,0.00630952090796022,0.5884353741496599,0.0266953525922842,-0.0027748537521496645,-1.1475895108516498,0.2511380619368829
tff_disaggregated,nq,lev_money,long_oi_pct_change,2w_post_release,264,0.008542861811760515,0.013485579437420236,0.6401515151515151,0.03814522852805974,293,0.007998704757171873,0.011242687127424933,0.6348122866894198,0.03844361596391494,0.0005441570545886426,0.1674872423199327,0.8669866848979177
tff_disaggregated,nq,lev_money,long_oi_pct_change,4w_post_release,262,0.016139694768518245,0.026507772085630155,0.6603053435114504,0.05916862274188847,292,0.016955551209471512,0.020399372219154666,0.6678082191780822,0.05306078431247269,-0.0008158564409532672,-0.17010209821683406,0.8649298434264392
tff_disaggregated,nq,lev_money,long_oi_pct_change,13w_post_release,258,0.05447581252533167,0.05557094004728402,0.7790697674418605,0.09295971339887625,287,0.051782705682388075,0.05670037891911828,0.759581881533101,0.09108663731093514,0.0026931068429435975,0.34091914683735464,0.7331644502887065
tff_disaggregated,nq,lev_money,short_oi_pct_change,1d_post_release,288,0.0004913373254783922,0.0018687351798492013,0.5798611111111112,0.01565422089778237,270,0.001733149787873803,0.0016783034053053925,0.6037037037037037,0.012913438356691195,-0.0012418124623954107,-1.0247518375707965,0.30548029686369416
tff_disaggregated,nq,lev_money,short_oi_pct_change,2d_post_release,288,0.0011299792073611954,0.00228588991433909,0.5798611111111112,0.017536470787127657,270,0.003771804263169064,0.0038538711347291255,0.6222222222222222,0.016523123581281673,-0.0026418250558078683,-1.8322313842008744,0.06691695492397717
tff_disaggregated,nq,lev_money,short_oi_pct_change,3d_post_release,288,0.003727739556333043,0.005139305470718503,0.625,0.022163155939710105,270,0.0037523037468982596,0.0030449597306587695,0.562962962962963,0.02009710398646605,-2.456419056521674e-05,-0.013728632531774818,0.9890464801411254
tff_disaggregated,nq,lev_money,short_oi_pct_change,1w_post_release,288,0.004327662479860436,0.005322881845183258,0.5972222222222222,0.029677993272389486,270,0.004062838026432895,0.004836702854850938,0.5666666666666667,0.026905123496735336,0.0002648244534275406,0.11054201079272401,0.911979534203747
tff_disaggregated,nq,lev_money,short_oi_pct_change,2w_post_release,288,0.007947488869919216,0.012105583413686394,0.6319444444444444,0.041176646284446,269,0.00858758073464461,0.011242687127424933,0.6431226765799256,0.034962749347029656,-0.0006400918647253943,-0.19818487512022898,0.842900420691007
